left,0,0,-3.8217444,-3.7738605,-4.1235633,-4.0702925,-4.0153756,-3.9977183,-3.8813002,-3.981707,-3.9909847,-4.075829,-3.9634514,-3.743035,-3.585766,-3.6791399,-0.5758055,-0.42347443,-0.30331543,-0.31004912,-0.53704935,-0.66962826,-0.8831611,-1.0428245,-1.0929531,-0.9980828,-1.0729016,-1.0410289,-1.0963948,-0.8738836,-0.7226,-0.6633435,-0.65750766,-0.55216277,-0.35748425,-0.262614,-0.17477672,-0.25453356,-0.12479776,-0.1038485,0.020201078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,0,0,0.11058219,0.10968436,0.11342531,-0.036810853,-0.009427169,-0.001945289,0.18121114,0.025737667,-1.448492,-1.3599066,-0.31543607,-0.5175965,-0.2995745,-0.1830068,-0.1945289,-0.16026187,0.054767363,-0.0175076,-0.040551793,0.27009588,0.49155954,0.5282208,0.83258367,1.1397897,1.3468881,1.9078795,2.1420624,2.4910173,2.2979846,3.2202013,4.002806,4.1401734,3.6707602,4.725406,5.1823993,5.4462104,5.431995,5.495291,5.852327,5.953332,5.8867435,5.6715646,5.495291,5.655853,5.352537,5.1464863,5.059098,4.6302366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
up,0,0,4.460697,4.0445547,3.5594296,3.4030585,3.401113,3.153463,5.2669444,4.7809215,-0.9521441,-1.1070191,-1.8188452,-1.4944308,-2.1134815,-2.6613047,-3.103035,-3.2381577,-3.1690252,-3.3394625,-4.1871595,-3.9416041,-4.0276456,-4.3511624,-4.425981,-4.519056,-4.8083053,-4.809353,-4.7870564,-4.735282,-4.6158714,-4.5851955,-4.439598,-4.5578117,-4.821324,-4.5784616,-4.105607,-4.1846156,-4.367772,-4.588188,-4.107702,-3.628263,-3.5926492,-3.467253,-3.4480994,-3.440767,-3.069666,-2.9227216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
down,0,0,-2.8241105,-2.834286,-2.487426,-2.6140194,-1.905186,2.193837,2.1531355,-0.056563016,0.08259996,-0.030825347,0.001646014,0.07646482,-0.039504327,-0.14619595,-0.14021043,-0.02439093,-0.0338181,0.001795651,-0.1491887,-0.17118542,-0.027832596,0.14155717,0.19422962,0.34685996,0.40491936,0.64912796,0.5590461,0.80594814,0.7918822,0.96546185,1.2360066,1.6045641,1.6431706,2.5399487,2.9239187,3.8209963,5.0130095,6.0609217,7.291691,8.4843025,8.000674,8.475025,8.358158,9.7919855,9.455899,8.740482,7.4645224,6.384438,4.138976,2.9122472,2.4235306,1.4206594,-0.9793781,0.6925228,-0.65990186,-0.39369655,-0.3429694,0.17058687,0.34910452,0.11851298,0.17133506,0.07751228,0.048931498,-0.041000705,0.11462241,0.30511108,0.2415151,0.13676877,0.007032968,0.124049574,0.056114104,-2.99E-04,-0.27682957,-0.033668462,-0.07885902,0.10100538,0.08619126,0.13631986,-0.01062427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
square,0,0,0.023642741,-0.051624972,-0.019153614,-0.07212532,-0.08140286,0.16101007,0.14395137,0.12883797,0.032770637,0.016609775,-0.02124854,0.07751228,-7.8501387,-7.1414547,1.0561422,1.5408185,1.1085154,0.51819503,0.71691376,1.4863503,2.2225673,2.2925978,3.0288148,3.4891,3.6412816,3.2176573,3.3098342,4.769549,5.520281,4.7450085,5.0240827,5.49589,5.559486,4.540454,4.127903,4.1334395,3.7363014,2.992004,2.7461493,2.5767596,2.566584,2.2692542,1.4440029,1.6491561,2.0272903,1.9211972,2.2209213,2.0477905,2.4447792,2.3376386,2.4061728,2.6720788,3.4084454,3.9333742,4.368221,4.786458,5.304653,5.7040358,6.3106666,5.9066453,5.5264163,5.2600613,5.350143,4.6791677,4.106804,3.527108,3.448249,4.012383,3.259107,2.9578865,2.4583962,2.5007436,3.5818753,2.7673979,2.8956373,3.0038254,3.4059017,3.879355,3.5410242,4.1301475,3.6531029,2.845808,2.955642,2.3614311,1.8302176,1.1734581,0.84620064,0.83063835,0.48841715,0.4753987,0.3494038,0.41359833,0.36182374,0.5069722,0.58209026,0.50382984,0.49844286,0.5770026,0.6391022,0.49051207,0.47614688,0.50038815,0.4086603,0.55096567,0.5792472,0.61156887,0.71451956,0.7703344,0.897676,0.96112233,0.9883564,1.1502643,1.1667244,1.2096704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triangle,0,0,1.4007577,1.4679449,1.4760253,1.4911387,1.3295301,1.3759178,1.3986627,1.3615526,1.2737153,1.2609961,1.1849802,1.2955624,6.670695,7.891738,1.146673,1.9903297,3.0602386,3.1863832,2.838775,2.4579473,1.8031331,0.99523973,0.61171854,0.526874,0.055066638,-0.5270237,-0.38845924,-0.23747487,-0.059106853,-0.49814358,-0.4918588,-0.49754503,-0.2228104,-0.19946693,-0.31379005,-0.10459669,-0.19318216,0.057909753,0.5395932,1.0510546,1.1287165,1.488146,2.298733,2.277634,1.9768624,2.3575404,2.7319338,2.9673138,2.0820577,1.6015713,1.4366707,1.6635213,0.8936358,0.13063364,-0.5330092,-1.0082582,-1.3509283,-0.8988731,-0.6771102,-0.8892963,-1.3099276,-0.6498761,-0.15367782,-0.30137014,-0.41449618,-0.04369418,0.2813187,0.12674305,0.088585466,0.29747957,1.3795091,1.6105496,2.2149358,2.997391,3.8884828,3.8959646,4.1232643,3.4427123,3.4669538,3.070414,2.479944,1.9621979,1.0057143,0.12195465,-0.32127193,-0.94885206,-1.3875896,-1.256507,-1.7292122,-2.197578,-2.5842414,-2.4033296,-2.2973862,-2.391209,-2.7985225,-2.6267385,-2.4895208,-2.4392426,-2.7262475,-2.8413188,-2.6339211,-2.5996542,-2.4247277,-2.2785318,-2.2713492,-2.3297079,-2.4132056,-2.3698108,-2.275988,-2.3108535,-2.389114,-2.4229321,-2.1064487,-2.010082,-2.1124341,-2.2366333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
circleCw,0,0,-2.173636,-2.2472575,-2.0585647,-1.9756653,-2.0503345,-2.1893477,-2.2518964,-2.341978,-2.3614311,-2.4953568,-2.3756466,-2.0114286,11.0317335,11.56564,4.6645036,5.3685484,5.81791,6.0927944,6.389526,6.769306,7.7002015,7.6829934,7.354838,7.5739074,7.712472,7.512556,7.0841436,6.9445314,7.1609077,6.718429,6.648399,6.607398,6.2249246,5.6896706,6.027253,6.2591915,6.21849,6.384139,5.868338,6.361394,5.990592,5.9379196,5.853823,5.6402903,5.695357,5.7368064,5.6967034,5.523423,5.444265,5.394286,5.1352634,4.7041574,4.571878,3.9989154,3.4985273,3.3225534,2.9141924,2.7814639,2.5978584,2.5267806,2.2298996,1.9161096,1.8218379,1.4651018,0.775871,0.08828619,-0.019602526,-0.25333646,-0.52777183,-0.5484218,-0.5017349,-0.66065,-0.5909189,-0.48871642,-0.2901473,-0.21592706,-0.023642741,-0.020949265,0.14110826,0.30346507,0.25423428,0.38651395,0.4727052,0.682946,0.84455466,0.9657611,0.8581717,0.9910499,0.9350854,0.83378077,0.74175364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
circleCcw,0,0,0.6171055,0.68608844,0.6217443,0.6151602,0.59106857,0.57520694,0.5780501,0.7218518,0.5864298,0.5781997,0.6190508,2.7064953,2.392855,0.56996965,0.62802905,0.16460137,0.30780455,0.3919009,-0.18570027,-0.6594529,-0.51445407,0.053570263,0.24525604,1.0116999,1.1902175,0.91817635,0.87119013,0.9141361,0.83288294,0.6818986,0.26081836,-0.14664486,-0.4397849,-0.21443069,-0.3286042,-0.3971382,-0.50263274,-0.3091513,-0.36496612,-0.5385457,-0.4345476,-0.40102878,-0.4655226,-0.6959645,-0.6307225,-0.44143093,-0.24495676,-0.2335843,-0.49934068,-0.5361515,-0.4825813,-0.67770875,-0.6206968,-0.8029554,-0.7649474,-0.82360536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,0,1,-0.88510644,-0.8382699,-0.8077438,-0.75971013,-0.73576814,-0.6154595,-0.70419455,-0.49081135,-0.2681506,0.21173722,-0.18644845,-0.10414778,-0.20754737,0.16894086,0.6913257,0.37319618,0.36556467,0.5228338,0.26830024,0.15861586,0.3510498,0.4225766,0.2033575,0.11956045,0.10354923,0.30765492,0.4842273,0.54527944,0.35598788,-0.1086369,0.18570027,0.23089083,0.3402759,0.15682021,0.59017074,0.47300446,0.54737437,0.22385786,0.20470424,0.5541081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,0,1,0.36077628,0.32650927,0.04623802,0.12180501,0.08454525,0.2252046,0.130484,-0.272939,-0.2657564,-0.010923545,-0.041449618,-0.013018472,8.98E-04,0.14903906,0.16160862,0.3919009,0.48332947,0.6405986,1.0963948,1.4196119,1.7812861,1.7272669,1.9800048,2.39495,2.3861213,2.2254105,2.5344121,3.252972,3.653851,4.2591352,4.9064674,5.811775,6.3796496,7.1236477,7.6829934,8.06442,9.033473,9.677363,9.405921,10.048465,9.932345,9.9333935,9.460538,8.114548,6.1258645,5.076755,3.9402575,3.3102832,2.52289,1.607856,1.2044331,0.9012673,0.3966893,-0.08948329,-0.38172552,-0.19318216,-0.18719664,-0.08379706,-0.5105635,-0.74055654,-0.7899369,-0.03546411,-0.3482067,0.076015905,-0.6534674,-0.40761283,0.3453636,0.5056255,0.4062661,0.022445641,0.22026655,0.21802199,0.23837271,-0.05192425,0.14170681,0.51789576,0.5702689,0.39938277,0.372448,0.31423897,0.011522096,-0.017058687,-0.041748893,-0.0724246,0.028431145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
up,0,1,0.23777416,0.18151042,0.23747487,0.25363573,0.10564415,-0.002094927,-0.25288755,-0.49275663,-0.58777654,-0.27278936,0.13901334,0.17103578,0.40177697,0.33473933,-0.08259996,-0.04189853,-0.13347675,-0.009427169,0.14200608,0.20485388,0.2681506,-0.021098902,0.042646717,1.0630256,1.5089456,2.3434746,2.78311,4.2561426,5.2916346,6.643311,8.2694235,10.115502,11.61532,12.796559,14.543428,14.378677,13.976751,13.566295,13.6881,12.546365,12.322806,10.787824,9.235035,7.230788,5.9772744,5.11596,4.526388,3.5805287,2.5775077,1.6677111,1.3416507,1.3338696,1.1495161,0.35673606,0.07706337,-0.14844051,-0.33234513,-0.3510498,-0.46657005,-0.15457565,0.3600281,0.621445,0.5964555,0.3812766,0.30331543,0.4352958,0.4587889,0.3954922,0.72289926,1.0402806,1.2816461,1.5890018,2.270601,2.3521535,2.4561517,2.536956,3.4030585,4.2800846,4.142418,4.312406,5.450999,5.0977044,5.7858877,6.1399302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
down,0,1,6.797737,7.2031054,7.226,6.133346,6.080973,6.103269,6.2551513,5.417031,4.0179195,3.9987657,-0.060303956,-0.027234044,-0.03995324,0.01062427,-0.031573534,-0.05327099,0.084694885,-0.075417355,0.004638766,0.05207389,0.0676362,0.087538,0.07646482,0.13661914,0.25124153,0.535553,0.54408234,0.4487632,0.6667852,1.1821371,1.5381249,1.723077,2.1402667,2.4616883,3.095703,4.0565257,4.3391914,5.283405,6.4514756,7.354688,7.0139637,7.367258,8.412177,7.607127,6.330569,5.830031,6.1583357,3.558083,3.803788,3.53459,1.1339538,0.03232172,0.2777274,-0.1352724,2.7263973,-1.9795558,-0.5636849,0.27204117,-0.4309563,-0.8295909,-0.35718498,-0.3309984,-0.04833295,0.2947861,0.045938745,0.3556886,0.05761048,-0.03995324,-0.20649989,-0.08334815,-0.26830024,-0.0175076,0.09816227,0.09292495,0.10175357,-0.15577275,-0.052971713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
square,0,1,0.07870938,0.058508303,0.047135845,0.020799628,-0.034715924,0.043245267,-0.039055414,-0.121655375,-0.05925649,0.11402386,0.1388637,0.1515829,0.09247604,0.09546879,0.041000705,-11.307066,-11.266365,0.08664017,0.062698156,0.07706337,0.09053075,0.08484452,0.07212532,0.1774702,0.16490065,0.2813187,0.35254622,0.4468179,0.5686229,0.82510173,0.7625532,0.8147768,1.0214263,1.3626001,1.6124948,1.5427637,1.0589854,1.0206782,1.0703578,1.0856209,1.1701661,1.0214263,1.0760441,1.132607,1.0295067,0.9463082,0.6254852,0.29942486,0.28161797,0.2976292,0.070180036,0.28072014,0.29897594,0.676362,0.62817866,0.5669769,1.1677719,1.477821,2.2873604,2.7656024,3.5571852,2.868553,2.3608325,1.9993081,2.3165398,1.6418238,0.74863696,0.50592476,0.219668,0.29299045,-0.17582418,-0.14350246,0.052373163,0.3700538,0.04833295,-0.41838676,-0.76330143,-0.7284359,-0.6203975,-0.66753334,-0.8013094,-0.6976105,-0.5294179,-0.46537295,-0.8656536,-0.40057987,0.2685995,-0.089184016,0.18734628,0.55365914,1.0453683,1.4746786,1.5842134,1.9569606,2.2899044,2.6502316,2.6246436,2.416348,2.408567,2.5980082,2.4884734,2.0382137,1.4065934,0.9883564,1.0226234,0.6422446,0.1376666,-0.17477672,0.039205052,-0.05117606,0.35030162,0.27084407,0.19048867,0.26800096,0.6112696,1.3563153,1.7568952,2.233042,2.5260324,2.5954642,2.629432,2.7117326,2.92751,2.7503393,2.3071127,1.5514427,1.4526819,1.4068928,1.5837644,1.6105496,1.3292309,1.3458406,1.309329,1.240795,0.81343,0.72634095,0.6465841,0.82944125,1.4300866,1.2864345,1.2339118,1.4205098,1.5851111,1.7516578,1.1002853,0.8562264,1.2568063,1.1291654,1.1692683,0.87313545,0.7745243,0.79158294,0.55365914,0.23956981,-0.08140286,-0.197372,-0.26126727,-0.6621464,-0.8273463,-0.89827454,-0.791134,-0.56892216,-0.3422212,-0.4890157,-0.48407766,-0.448015,-0.39220017,-0.26440966,-0.16445173,-0.16938977,-0.0887351,0.053570263,0.05312135,0.1455974,0.23897126,0.16400282,0.1925836,0.15068507,0.40880993,0.4762965,0.5835867,0.7812579,0.6313211,0.57475805,0.406715,0.39025488,0.04818331,-0.3043629,-0.3561375,-0.4523545,-0.30945057,-0.23927054,-0.09696517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triangle,0,1,-0.121056825,-0.019752163,0.20784664,0.3218705,0.42392334,0.34117374,0.197372,0.13961188,0.020500353,-0.08140286,-0.08334815,-0.19707273,0.3155857,0.64119714,0.8351275,0.6914754,0.7151181,0.9024644,1.0811317,1.4030021,1.4420576,1.544709,1.4909891,1.4737808,1.1291654,1.4031519,1.7473184,2.2091,1.9639935,2.0148704,2.3716063,2.4253263,2.4317608,2.804508,3.0660746,2.8499978,2.453907,2.9408278,2.6220999,2.45271,2.3805847,2.3018754,2.0135236,1.94484,1.9856911,1.4175171,1.1122563,0.80924016,0.25902268,0.26021978,0.3959411,0.3688567,0.48153383,0.16819267,0.6961141,1.0124481,1.5191209,2.4127567,2.628983,2.6286838,2.854487,3.7618895,3.5429697,3.4103906,3.6495116,3.8317702,3.3556232,3.2619503,3.389591,3.2778118,2.742109,2.6616042,2.6776154,2.3533506,1.939902,1.2729671,1.2554595,1.8080711,1.6906056,2.4582467,3.3104327,3.9835026,4.428525,4.8817773,5.1146135,5.576545,5.3127337,5.234174,4.8159366,4.411616,3.6290112,3.810372,3.5691562,3.045724,2.8256068,2.3879168,1.8685248,1.7456723,1.4407109,1.1094133,1.1489176,0.85697454,0.56084174,0.62698156,0.44606972,0.021996727,-0.44397476,-0.32650927,-0.114772044,0.1376666,0.07152677,-0.06718729,-0.2741361,-0.57715225,-0.2853589,0.04623802,0.0724246,0.15173253,-0.08798691,-0.26186582,-0.13811551,-0.1678934,-0.025737667,-0.038007952,0.0935235,0.17417817,0.17208324,0.19228433,0.26156655,0.252289,0.090979666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
